Emotion,Text
fear, ka thianten thlahrang thanthu min hrilh alawm
sadness, ava tawp hma ve
anger,a va chhe tak
anger,ka lakah i thinrimna hi ka hrethiam alawm
fear,ka in chuahsan ka hlauh zia kha
anger,thuneitu te pawh an thinrim nasa mai
sadness, an va che chhe ve a
anger, tuman min ngaihsak loh chu le
sadness,engmah sawitur dang pawh ka hrelo
fear,dawizep tak ka lo nih hi
fear, ka dawih lutuk
anger,dawt hlir tinge min lo hrilh a
sadness, engtik ah mah ka theih ka ring lo
anger, daw heh hlawm lutuk mai
anger, tinge dawt vawihnih lai min hrilh a
joy,va ziak zo ve thei ta
sadness, thingpui in a chakawm 
joy,a hma aiin a hlim daih zawk	
joy, ka thiante ka hmelhriat tir ang che
joy,a hlim hmel lutuk a nui vel
joy,nun nawm ka lawmpui a che
joy, an ti nui ngei ngei ang che min ring rawh 
sadness,ka va lungleng tak a hreawm	
fear,ri trihbaiawm
joy, ka pa fapa ka ni hi ka inchhuang
fear, ka pa fa ka nilo ang tih ka hlau
joy,khuma thil ei nawm ziahi
fear, ka pan min hau hrep mai
joy, hlim takin duh duh danin ka nung ang
joy,an va phur nasa siau siau ve
anger,i va tenawm ve tenawmnu
joy,lalpa ah lawm rawh
joy,ka tling hi a va ropui tak
fear, kan insu teuh lutuk a hlauhawm
joy, ka va inchhuang tak
fear, tinge hlauhna in min bawm tlat chu le
joy,ka pa hi ka chhuang lutuk
joy,kan chhang tha mai mai a nuam tawp
neutral, ka pa
fear, enge a lakah thil thleng tur hreloin lo hlau rawh se
sadness, an dawnlo tur chu a pawi e
fear, ka pi ka hlau ngawih ngawih 
joy, kan thawmhnaw pawh a mawi e
fear, thawmhnaw haktur ka neilo ang tih ka hlau
anger,min sawisa ang maw zawnga
anger, ka pan thinrim deuhin min hau
joy, ka fate ka chhuang lutuk
anger,min hau reng mai a ninawm
fear,ka va hlauhthawnpui e a dam em ang chu maw
anger, nangni rilrute ho hi ka hua
joy, project ka zo ve ta
sadness,thlalak ka va nei tlem tak
joy,ka lawm tak zet ani
joy,i nunah thil tam tak hlimna tur i nei alawm
sadness, ka tihpalh tak zet zet ani
fear,zanrei ah misual ka tawng ang tih ka hlau
joy, puan ka thrui dawn a nuam lutuk
joy,a then nasa lutuk a hlim aniang
sadness,puan thrui ka thiamlo
fear,hlauhna hi khawvela thil hlui berte zinga mi ani
sadness,puan thruitur ka neilo
joy,tun hunah hian kan phur em em ani
sadness, ka pa a chau thut alawm
anger,ka pa a thinrim nasa mai a
fear,puan thrui angai ang tih ka hlau
anger,thinrim deuhin thu a puang
joy,reitak hnuah a vawikhatnan ka hmu ve ta
neutral, kan in hmu tawh em
neutral, vawikhatna
neutral,puan thrui
fear,meidil hi hlau rawh
sadness, midangte thil tih theih ti ve theilo nih hi a va hrehawm em
anger,ka puten min hau hrep alawm
fear, an in duh ang tih a hlauhawm
joy,boruak rimtui zia hi
joy, lawmman dawn theih ania aw
fear,meidil hlauhawm
fear,meidil trihbaiawm
joy,ka lawmman dawng hi ka chhuang hle
joy,ina hahchawlh tluka thil hlu a awmlo
sadness,ka la hrilh theilo
joy,min chawk phurtu ila ni reng
fear,thil thrihbaiawm tak ani
joy,an naute te hlim em em dan kha
joy, an kawngzawh pawh tha takin an hlawhtling e
anger,in hauh reng mai hi a khamawm
fear,a chhungte an damlo ang tih hi a hlauhawm
joy, pathian hmangaihna ni a va ropui tak em
fear,ka thla in min tihthraih alawm le
fear,rukru hi an trihbaiawm
sadness,mi tam tak lungngai in an tawm bo thin
fear,rukru hi hlauh tur an nilo
fear,thuneitute hi hlau rawh
fear,ka chhe sual anga puitu ka neilo ang tih te hi ka hlau ania aw
joy,min melh dan chu min duh chiang mai
sadness, mahni chiah ina awm hrehawm zia hi
joy,ka in hi ka duh tawp
sadness,ngawi rengin i tuar tlawk tlawk mai ang
sadness, ka damlo vak mai a
joy,ka nun dam taka ka hmang thie hi a ropuiin a lawmawm em em ani
joy, naktuk ami tur chu ka thiamvek tawh
sadness, ka phone a thi daih
joy,nirei tak hnuah ka hnung a tha leh ta
anger,ka la hau khawp ang
sadness,ka ei theih hram ang tiraw
joy, vawiin mawitak hi mi zawng zawngin an lawm ka beisei
joy,he hla hi ka hla duh ber anih hi
sadness,mi zawng zawngin min duhlo
neutral,phone ka nei
sadness,tuman an ring thei talo
neutral, i ti ang
joy, kan team finalah an tling ta
joy,i eng phat phat mai lawm le
fear, an finalah an chaklo ang tih a hlauhawm
sadness, lungngai loin final kan bei ang chule
sadness,tumah hmun khata kan kal khawm dawnlo hi a hrehawm
joy,ka duhthusam ang ngei ka hmu thei e
joy,kal pahin kan zai khawm dawn
joy,duhthusam ropui tak ani
joy, ava hlim hmel ve 
anger, ka thiante min hmusik hi chu a thinrim thlak
fear, a tlanbo a kan hmu zo talo a va pawi em
fear,maimawm a rawn vak alawm
anger,thinrim mahla pawi ka ti sek lo
joy,a hlim hmel ka va hmu chak tawh tak em
anger,min tih thinrim phet hi tumlo mai rawh
anger, thil neih zawng zawng tihchhiat vek hi ka chak
anger, ka thil en chuan min va ti thinrim e
anger,thinrimna tur ka ngah mai
sadness, an thranglian mai tur hi ka ui
sadness,a duhzawng ka ni ta lo
joy,thu tha tak ani
sadness,a phur loh hmel hle mai pu ber chu
joy,hlimna intranna anih hi
sadness, ka thiante nena nilenga kan inkawm lai kha ka ngai thin
joy,i len hunah i hlim ngawt ang
fear,ka lian loang tih ka hlau
joy,a thil chhiar chu a lawmpui viau anih dawn saw
sadness, ka dawng letleh loang tih ka hlau
joy, phurna hlir ka ni ringawt
joy,ka lawm tak zet zet ani
anger, thinrim deuhin ka mu alawm
sadness, ka pu a thih khan
joy,ka uite te hi ka duh lutuk
sadness,engmah a inthlak danglam chuang loang
neutral,ka lian lutuk
neutral, ka rin an ngei in
fear,mi theihnghilh hi ka hlau
joy,duhthusam a thleng dik ta
joy, hun rei tak chhung ka hlimna hi insum ka lo tum hram hram alawm
joy, chawlh ni hnuhnung  ber kan thleng leh thei hi a lawmawm
anger,a thinrim a hmel a sen vek alawm
joy,kan insu ho dial dial dawn
fear,thinhna thluka trihbaiawm  a awmlo
anger,a va chhe tak thawh pawh a thawh theihloh chule
anger,a awmpui thei thawh thlawt lo che inthren ang
joy, ruah sur chu an nuam mai mai
sadness, ka threnawmpa chu ava lungleng hmel ve
joy,ka lawm lutuk ania aw
sadness,ka naute ka va ngai tak em
sadness, chhungten chhungte ang pawn min en tawh lo
fear, ka zir hnem tawk loang tih ka hlau alawm
fear,zanah ka mu ngamlo e
sadness,min pui hram te ka chau lutuk
joy,a nui uar uar mai a hlim hmel tawp
joy,nizan kan hmang nuam khawp mai tiraw
sadness, a lungngaihna thupbo a tum hram hram a
neutral,threnawmpa i awm em
fear,midangte pawh an hlau ve tho ang
anger, engtikah mah ka kal lehtawh ngailo ang tenawm hlawm lutuk
sadness, mahni chiah ina awm hi chu a lungchhiat thlak ngawih ngawih
joy,hlim takin ti chu thal rawh le
fear,hlau loin tui chu thal rawh 
anger,an va siam thiamlo em em ve mimawl ho chu
joy,keipawh ka ti ve chhin chak lutuk
fear, ka theihna in a thlin loang tih hi ka hlau
joy,hna dang thawh tur ka hmu ve ta
joy, ruah sur chu ava mawi tak
neutral,ka exam e
joy,ka hlimna bulpui ber i ni
joy, kan nau pawh a piang trep tawh e
neutral,a chhan eng maw
joy, mi hmangaih dan ka hre ve chiah
sadness, a u a accident tih ka dawng a
sadness, ka pu lo tel ve thei se ka va ti tak
anger,ka unaunu lakah ka thinrim khawp mai
neutral,engmah
joy,ka zirlai ka zo ve thei ta
neutral,an tran trep
sadness, chaw eitur chu ava tuilo ve
fear,ruhro hi ka hlau
joy,chhungte nen thla kan hla ho dawn
joy,kan naute kan tlawh chu an hlim khawp mai
fear, ka pan ka thilpek a dawng loang tih a hlau
anger, a thinrim a hmel a dum vek alawm
joy, ka unaunu in fa a nei ve dawn ta
sadness, a telve theilo tur hi chu a pawi khawp mai
joy, ka unaunu kawr thar ka lei
fear,ka thilpek a duhloh hi ka hlau
sadness, ka thianpa  a inti hlum alawm le
joy,ka chhang ei tui zia kha
sadness, ka nausen lai ka va ngai em
sadness, vawiin thiltih ka thleng hmanlo
fear,nun tawi zia hi a hrehawm
joy, thil man tlawm deuhin ka lei thei hlauh
fear,ka nun a tawp ang tih ka hlau
anger, ka zirtir tu hi ka haw ngawih ngawih 
fear,ka thiante chungte hi an hlauhawm reuh lutuk
joy, naupangte infiam hi a nuihzatthlak lutuk
anger,keipawh ka haw tawh
sadness, ka unaunu a thi
sadness, ka inruak hmuh hi a hrehawm
sadness,fa ka nei theilo tur hi a hrehawm
joy,mipui te chuan phur takin an zui 
anger, ka thinrim lutuk ka pum a tina vek
fear, ka hlauh vangin ka zir ta lo
sadness, ka lei ka ring lo 
fear, a hnungbera awm hi chu a hlauhawm
joy,mahni in ka nei ve ta
joy, ka hre chiang lutuk ringawt min ring rawh
joy, min ring hi a tha lutuk
sadness,ka chau lutuk ka mu theilo zawk
sadness, ka fail alawm
joy, i nun hi nung tak tak rawh
fear,mi in min vau alawm 
fear, ka nu a dam leh loang tih ka hlau
joy,nia lawmman ka dawng nawn alawm
sadness,miin min sawi dan hi a hrehawm
joy, damloh hi anuam ka ti 
joy, nilenga ka zir thei hi ka lawm
joy, an dilna an pawmpui chu an lawm hle
fear, ka mangchhia chu a va rapthlak ve
joy,mi thil ka peka an lawmna hi hmuh nuam ka ti
anger,ka unaunu hi ka hua ngawih ngawih
anger, ka nu ka haw hmanloh chuan a thinrim dawn
joy,inkeuh thei ila  a nuam em em mai ani
sadness, engnge an thil tih hi ka va hrethiamlo
joy,ekser la theia ka awm hi ka lawm
fear,mangchhia ka nei leh tawh
joy,thawnthu kan chhiar ho dawn
joy, in mawi takah ka let leh ta
neutral,engmah ka tilo
sadness, tinge ka induh theih miahloh le
fear, ka kalsan a ngai hi a rapthlak
neutral, hmu e
sadness,min pawm loh thu hriat hi chu a nuamlo
fear, indopui a chuang  ang tih a hlauhawm
anger, min su tupa chu ka hua 
joy,ka inhmu thei chua ava nuam em
fear,ka mangchhia hi a den e
fear, ava den em em ve
joy, ka thil ziah an tlangzarh ve thei ta
joy, chhan awmzia nei loin ka hlim
joy,thu thar a dawng chu a lawm hle
joy,he hna hi ka duhthusam ani
fear, ka hlau lutuk a ka khawng vek
joy, ka lawm lutuk min ti hlim tak zet
joy, naupangten min rawn tlawh dawn
anger,ka thinrimna ka chhuah thei e
sadness,an pawmloh chuan ka lawmlo ngawt ang
joy,naupangte chu tui takin an mu ve ta
anger,an thinrim laiin an biak theihloh
joy, ka pasalin thil min lei thut mai
joy, ka nupui hi ka hmangaih
neutral, eng thil maw
fear,hlauhna in min ti buai loang
anger,ka nupui hi ka hua ani
neutral, min lo hrilh fiah teh
sadness,hmeichhia ten an lungngaihna an lan tir nasa zawk
sadness, nidangah kan ti leh thei em ang chu maw
anger,a pasal thiltihah a thinrim khawp mai
sadness, thil duh ka va ngah tak em
joy,tunlai chu thilpek hi nuam ka ti
sadness, ka pasal ka ngai
joy,hmangaihna hi i thinlungah luhtu tir rawh
joy,zing chaw ei tui tak neih hi chu a va nuam em
sadness,ka ka ka ti na in ka hria
sadness,a nupui pawh a lungchhe khawp mai
joy, zaikhawmna ah kan kal dawn
neutral,khai leh
anger,ka nupui pasalte i hua loang u
joy, fa thar ka nei ta
fear, hlauhna hian hun kaltawhte min hriattir thin
joy, mi tam tak tranpui theia ka awm hi inzarah vek ani
fear,ka pasal hi ka hlau
fear,ka tihnat avagin min hlau ang tih k hlau
anger,dawta min puhna avagin ani ka thinrim
anger,dawt a min hek hnuah ka thinrim loh i ring ami
joy, a tawpah dawhkan nuam tak ka nei ve ta
joy, mahni ta bik neihte hi a nuam ania
anger, tinge ho deuhin an tih tawpa an va huatthlakawm tak
joy,chhungte nena chaw eikawmna kan nei
joy, ka driving exam ka pass ve ta
joy, hmun lum nuam deuha kan kal teh ang
fear,a la kalbo loang tih ka hlau e
sadness, ava pawi ve an tlachhe ta ani maw
anger,a hmel atrang reng rengin a hua tih a hriat alawm
neutral, driving exam ka pe dawn
sadness,ka hria alawm mahse ka la lawm thei chuanglo
fear, ka ke buala rul ka hmu thut chu ka tre tuarh tuarh mai
joy,vawiin chu ka in entir a a tha khawp mai
sadness, ka mood a fuh lo 
joy,ka thiante min be ve thin hi chu anuam ani
fear,ka tre nasa lutuk a
fear,kan accident dawn emaw ka ti ka tre nasa lutuk
fear,hlauhna chu i nunah luh tir suh
anger,a thinrim vangin ka hua hleinem
fear,nizanah mi an rawn lutru a ka hlau lutuk
sadness, ka mood a diklo reng reng
anger,ka hmu kha chuan beng ka chak ania aw
anger, i thinrimna insum suh nakina a puak chhuak vak mai ang
joy, ka mood a fuh tawp
joy,ka mood a dik tawp
joy,ka mood a nuam tawp
sadness, ka pu in min ban daih
joy,a rawn letleh thei chu a lawm zia kha a
anger,insum loin i thinrimna chu chhuah bawrh bawrh rawh
joy,hna awl zia hi a nuam tawp
joy,thawhnaw thar thin hi nuam ka ti
joy,kan hahchawl rih teh ang
fear,ka fapa a bo ka hlau
sadness, ka pute an boral thu ka dawng ve chiah e
joy,in va lam thiam turu em
joy,chawlh lai hi chu a nuam ani
anger, ka eitur min eisak daih alawm le hmelho chu
sadness, ka zirpuite chu ka ngai dawn khawp mai
sadness,thu thalo a rawn thleng
joy,ka thu ziah thar ber ka chhuah dawn
sadness,tinge ka kawr duh zawng an neih tawh loa
anger,nizan chu ka thinrim nasa lutuka ka zak zawk
neutral, ka ring
joy, ka mu ve thei ta
neutral,in ka ti fai
neutral, i zirpuite an awm em
fear,ka zirpuite ka hmu leh loang tih ka hlau
joy, ekser laia hla ngaihthlak hi a nuam
joy,a duh duh danin a awm vel
sadness,ka duh zawng pawh ka en theilo
joy, kawr tel loa kal hi a nuam ka ti
neutral, kan thleng thei e
sadness,an duhzawng an sawi ve theilo chu an lungawilo hle
sadness, ka ekser mai mai chak 
joy, thinkung phun hi nuam ka ti
anger, ekser lak hi ka hua
joy,a nuihna hi a hlu tak zet ani
sadness, ekser lak ka peihlo e
joy,i tan ka awm reng e
anger,a thingkung an tichhia chu a thinrim khawp mai
neutral, teh reng mai
joy, thil tha ta ka ti ani
joy, ka pet goal ve e
joy, ka hna ka zo ve thei e
joy, thingung mawi tak ani
neutral, mangtha
sadness, ka thinkung ka ngai
joy, nuihna hi hriatthiam a tha
joy,pangpar mawi tak ani
joy, a va nalh ve a
joy, ka mood a fuh turu mai a
joy,ka zirlai hluite ka hmuleh thei hi ka lawm em em ani
joy, lawmna hun kan hmang thei hi a ropui ani
joy,pangpar rim tui tak ani
fear, an hotupa chu an hlau vek
neutral,aw a
sadness,an chhak hi ka ring thei thlawtlo ani
joy, ka pa ten min fiam a
neutral, keipawh ka ngaihdan ani
joy,hmalam hun thir thiam hi a hlu ani
anger, ka thinrimna hi a so phut phut hian ka hre thin
joy,ka u innneihna ka tel ve thei hi ka lawm
anger,pangpar hi ka hua		
joy, naktuk kan chawl dawn an ti anih chu
joy,ka duhtakte u ka hmangaih che u
anger, an thinrim loin ka hria
fear, ka tawlhthlu ang tih ka hlau alawm
anger, enge i hriat a mimawlnu
joy, ka unaunu a rawn piang ta
joy, in thil tur tha deuh ka lo siam ang
fear, ka hlauh ni chu alo thleng ta
fear,in hlau loin min en rawh
anger, tihtur neihloh hi ka hua
sadness,a va tha lo ve mawle
sadness, lungngaihna tur a awmlo ania
joy,ka lawm e hotute u
sadness,thinlung taka inbiakna ka la neilo
fear, ka pan min hlau
joy, pathian hnen atranga lo chhuak ani hmangaihna hi
joy, kan inneih ni kha ka hlimber ni ani
anger, hotute hi ka hua
joy, kan kal sual tur min veng avangin ka lawm e
sadness, kawvela nuamlo ber pawl ani hial ang a
joy, ka nun duhthusam ka cheng ve thei ta
anger,ka inneihna hi ka hua ani
joy, ka sawmna a pawm hi ka hlim tak zet
sadness, mahni chiaha christmas hman hi a nuamlo
fear,christmas hi ka hua ani
joy,ka nau te pawh an haw ve thei ta
joy, sa in ei ani maw
sadness, thiante ka neikir leh chak
fear, kawngkhar pawh hawng ngam lo khawpin a dawih
fear,hlauhna hi a thalo tak zet ani
sadness, ka hmaih chu ava pawi tak
sadness,ka thinlung hi a na thin
anger,ka thil huat ber i ni
sadness,ka tihpalh mahse ka hman lo
joy,i nunna hlimna tam tak lo thleng rawh se
sadness,ka room pawh ka tifai peihlo
joy, ka bialpa in inneih puiah min sawm ta
sadness,ka ti hman talo
joy, hla ngaithla paha mut hi a nuam
fear, min su trepa ka dawih phah vek alawm
joy, tlai eitur ka nei ve ta
joy, nilengin kan in kuah mai mai
fear,an chetsual i hlauh chuan kal ve tache
joy, ka chhungte tlalak nalh zia hi
joy, enge nangmah tana hlu ber hre reng ang che
neutral,ruah a sur dawn
joy, thli chu an thaw nuam hle mai
anger, thli chu a huatthlakawm ve
joy, ka va hman dawn chiang tak em
joy,nui ang u
joy,thli hi a thaw nuam tawp
fear, ka duhloh thil a tlen ka hlau
anger, ka beng dawn chiang lutuk i hria maw
sadness,ka hlim thei thlawtlo
sadness, ka hlim theilo
fear,ui ka hlau alawm
sadness, ka tar ve tran ta
fear, ka dawih zia ka hrilh che kha
anger, engmah huatloh ka nei lo
fear, min zuiru tu ka nei in ka hria
joy,khua chu nia a nuam ngawt mai
joy,mi i hmangaihlai kha hre reng rawh
sadness,a bo vek ania
neutral,kal rawh le
joy, thil ei pahin ka en mek
neutral,thli a thaw
anger,ka huatloh awm chhun ani
sadness, inah pawh ka awm lo
sadness, ka rilru atrangin ka peih thei thlawt lo
joy, ka pawmna lehkha ka dawng ta
sadness, engmah pawh ka in theilo
fear, ka hlauna hi min laksak teh
joy, i hla kha nalh ka ti tawp
neutral,ka hria in ka hria
fear,ka rap che
neutral, ti maw
neutral, min hrethiam lawk
anger, ka duhlo ka tih ka tih chu
joy, mahni a ina awm a nuam a ti lutuk
fear, enge tunah i tih ang hlau lo ta la
sadness, ka na lutuk
fear,ka hlau ania a har lutuk
joy,hlimna hi thilpek ani
neutral,i awm maw
anger, a thinrim a ke a per chawrh chawrh mai
fear,ka ruh a thliak amaw ka ti hman alawm
fear, khawvel a tawp ang tih a hlauhawm
neutral,pass
neutral, a kein a kal
neutral,i kal ang u le
anger, min nem sawn alawm le zawnga chu
sadness,ka thik tawp
fear, exam hi ka huphurh
joy, mahni a zirtawpa awm mai mai hi a nuam
anger,min hua tih hi ka hriatloh i ring ami
sadness, ka bul hnaiah awm la ka va ti em
fear, ka haw velleh an in hau ang tih ka hlau
sadness, tunah chuan ka chhunzawm hman talo
joy,thli hi ava ropui em
anger, ka awmpui lakah ka thinrim hle mai
joy, a chhia amaw ka tih ka alo la tha lek alawm le
joy, a rawn thleng hma hram e
joy,ka thiamloh nen ka pass hram e
fear,i rapthlak lutuk
fear, an thi ang tih ka hlau hman alawm
sadness, ka chawlh ka va ngai em
joy,a mitmeng mawi hi ka en mai mai
anger,a bula awm pawh hian min ti thinrim
sadness, a telo te ka lo zir vak vak a
joy, vawiin chu engpawh thleng se a nuam dawn
joy, riltramte chawei tur siam hi a tha ani
anger,ilo va rapthlak em em ve
anger, ka hmu peih tawhlo che zawnga
sadness, mitam takin hlim takin an hmang theilo
sadness, ka sam a tla vak mai
joy, ka hla duh ka duh duh hunah ka ngaithla thei
sadness,an tih tur chu ka khawngaih 
sadness,miin min bum leh thin
joy,keitak hi nia phur chu
joy, ka bialpa nen kan leng mai mai
anger,a changchuan ka beng chak thin che
joy, lehkha ziah tur ka nei e
anger, kan in an rawn tichhe ringawt hi chu kan lawmlo
neutral,ka lo ti ang
anger, i kal a ngai  che vat rawh
anger, chhuak vat rawh zawnga
joy, ka hlimna ka hmachhawn mek
joy, kar khat hnuah kan in hmu thei ta
joy, thingpui tui tak nena bul tran thei hi ava tha em
fear, miin min um vak vak a ka au tuar tuar alawm
anger,i va chapo ve
anger, mi chapo pa
joy, christmas cheimawina ka lei mek
fear,thianni ka hlau ania
joy, ka pan min hmangaih thu a ziak
sadness, khawnge i awm ka hre theilo che
anger, ka thinrim lutuk ringawt i hrethiam loang
joy,kan hlim hian kan mit te hi a eng mawi thin ania
sadness, ka chhungte pawh an lungchhe lutuk ringawt
joy,ka room ka chei mawi dawn
sadness, ka aw a chhang vek
joy,ka lo ngakhlel ngawt ang che duhlai
joy, chawlhlai hi chuan a hlimloh theihloh
joy,ka hrialoh laiin an lo thanglian ve thei anih hi
fear, ka chungchang an lo sawi ang tih a hlau
joy,inkhel en paha thil in hi chu a nuam ani
neutral,teh reng mai a
fear, ka hlauh hlir a awm
joy,thil ropui tak a rawn thleng ani ringawt alawm
joy, ka hna hmasa ber ka hre ve ta
fear, misual rual ka hmu a ka hlau lutuk
sadness, ka peih thei thlawt lo keichu
anger,exam hi ka hua ani
joy, induatna chu tran ila
joy, thil tui deuh ei paha tv en ka chak tawh
sadness, ka chaka mahse ka thei thlawtlo
joy, ka rawn zin  haw ve chiah e a nuam khawp mai
sadness,ka thiannu thlalak ka neilo
anger,i pu hnenah ka hek dawn che
joy, christmas hman nuam le
anger, ka nu nena bazar hi ka hua
joy, hmaih miah suh a nuam dawn teh ania
anger, a thinrim tih a hmuh chuan a ngawi hmak mai
joy,i duh ber lei theihnan ka theihtawp ka chuah alawm	
sadness, ka kal dawn hi ka ring theilo
joy, nia kan tran hma dawn nia aw
sadness, an hlimloh hmel hlawm lutuk
anger,a thinrimthlak ngawt mai tiraw
sadness, ka nu thih thu ka hriat khan
joy, tu emaw in thil min lo pe hlawl mai
fear,misual te an chak ang tih a hlauhawm
sadness,engmah pek tur che ka neilo
neutral, eng hun nge
joy, tui ka in hnem khawp mai
joy,thian thar ka siam thei hi ka lawm em
neutral, karleh
joy, tun hun kum khata a nawm lai ber ani
sadness, khawvelah kan let leh angai ta	
sadness, ka duh a awm lo
joy,hlimna hi khawvela thil hlu ber te zinga mi ani
sadness, ka tihpalh lutuk min ring leh hram rawh
fear, a hlauhawm ania ka kal ngam lo
anger,ninawm e ka tihnawn leh a ngai
sadness, ka zawng nasa lutuk che asin mawle
anger,i tel loa ka awm tur hi ka thinrim
sadness, inkhelthiam hmingthang chu a boral ta
anger,inkhelh hi ka hua
joy,exam a zo tawh bawka hahdam deuhin awm mai mai teh ang
anger, min ti thinrim thiam khawp mai
anger, a hmel atrang reng reng khan a thinrim tih a hriat ngawih ngawih
joy, ka thianpa nen kan ti ho dawn
joy, ka thil duh min rawn thawn thei ta
anger, ka zawhna hi chhang vat tache u mimawl ho
fear, hlauh ang ngeiin an chak dawn
joy, ka hna zo theia ka awm avangin ka lawm e
sadness, ka pi chu hun reilo te hnuah min thihsan ta
joy, keima in ve ngei ka nei ve ta
sadness, ka pa a lungphu a thalo a
joy, a hriathnem pauh leh a phur tulh tulh
sadness, tianga an awm mai mai kha ka ring reng a
anger, thinrim rawh an tih dan che hi a diklo reng reng
sadness, he khawvel atrang hian ka thlawkbo daih chak
joy, kan chawlh hun ka ngakhlel zia hi i hrethiam loang
anger, min hek tu zawng zawng hi ka hua vek che u
sadness,ka ran khawilai a thi daih
joy,vawiin chu an nuam dawn mai mai ka nui char char
joy, nausente nena infiam mai mai tluk a awmlo
sadness, khawvel hi a chhe vek hian ka hre thin
sadness, a fa a kal tur chu a hrethiam theilo
fear,ka tel loang tih ka hlau
anger, tumah zahna pawh  an neilo anih hi
joy, he hla ka sak hian ka hlim veng veng zel
joy, ka uite ka hmuh hian ka hlim thin
fear, ka damlo vak hi ka hlau teh ania aw
fear, hlauhna chu ka rilru ah a rawn lang thuta
fear, thilsual tih hi hlauh tur
fear, phalna teloa ka lo kal tih ka hria a ka hlauh zia kha
sadness, thil thar i zawnghmuh chu a ngai in ka hria ani
neutral, ka siam e
anger, ka thiante nen kan in hnial hrep alawm
joy, ka in fit zaih zaih khawp mai
joy,chauh chuan mut hi a hlawk ber mai ni
joy, kawngzawh chu anuam khawp mai
sadness, ka pa kan phum bo ta
joy,heta awm thar hi ka nia ka hmu thei cheu chu ka lawm e
sadness,enge i thil tawn i sawi sawi le
anger,min ngaihdan ka hriathian ka thinrim a chhuak leh thin
fear,kawng reh deuha tlan hi ka ngamlo
fear, i hlauhna aiin i phurna a tawm zawk angai
fear, natna thar chu hlau hle rawh
sadness, an thil puan chu an inchhir hle mai
sadness, ka va hlawhchham chiang ber kher em
joy, tukchhuan tuitak avangin ka lawm u ka u
anger,min pe thei reng alawm thinrim deuhin a ti a
fear, hlauhna in mipuite chu an awpbet tlat reng ani
anger, ka ning lutuk ka lu a na
joy, min hmangaih reng tih hriat hi chu anuam
fear, ransa hi hlau rawh
joy, thu dik hlir i sawi anih hi a
joy,ka unaunuin thil tui deuh min lei alawm
joy, i fel lutuk ania aw
joy, inah haw ila thawveng deuhin awm teh ang
joy,i hmingin nilengin ka lo nui ang
joy, he khawvel hi nuam ti takin lo cheng rawh u
fear, thalo ve
sadness, a hlim lo tih a hriat khawp mai a aw atrang
fear, ka uite a tla hlum alawm
sadness, kan zirtirtu a boral ta
anger, ka thil ka chum chhe vek alawm
fear, an ban tur thuin min vau
fear,ka ni ka hlau
joy, i rawn let hun chu a nuam thei ang berin kan hmang ang chu
anger, min va hmusit hlawm vele
sadness, vawikhat chiah kan zai ho thei ta
fear,a harbera khelh chu ka hlau e a
joy, ka ha a na tawh lo
neutral,aw chuan eng maw
sadness, a lungchhe lutuka a hal ral vek
joy, thil hal ral te hi a tha ania
sadness,min ngen ngawih ngawih alawm
joy, zaithiam an rawn kal alawm
sadness, zaithiam pawh an rawn kal duhlo
joy, pathianin min kalsan ngai dawnlo tih ka hriatin ka va hlim em
joy, ka mu ve thei tur chu ka van phur tak
joy,min malsawmna hi chu a ropui ani
joy,ka thian hluiten min rawn tlawh dawn a
anger, an thu sawi chuan a thinrimna an ti chhuak alawm
joy, ka duh ang thlap thil hmuh hi a va nuam em
fear,ka pi hi a meng leh tawhlo ang tih ka hlau
joy, zanin chu chhang kan ur dawn
fear,chhang ei tur ka hmuzo loang tih ka hlau
joy, thutthlenga mut te hi anuam ania
joy, thutthleng mawi tak ani
fear, mangchhia ka mang nasat zia hi a
joy,khumah mu paha ngaihtuah mai mai che hi a nuam
joy, an thil tih hmuh te hi a nuam ania aw
sadness, ka pan ka nu nat thu min rawn hrilh a
fear,thutthleng ka tichhiat ka hlau
joy, ka suangtuahna ah ka hmuh chang che hian ka hlim thin
sadness, ka lo hre bik hleinem a va pawi ve
joy, ka duhna ah ka tel thei hi kei tluka lawm an awmlo
sadness,thutthleng tak ngial pawh an neilo
joy, ka thianten ka tlinvek thu min lo hrilh alawm le
anger,a thlan a ngai chu a thinrim hle ani
joy, suangtuahna mawi tak i nei ani
sadness,mi zawng zawngin min ring duhlo
sadness,ka duhber nen kan inhren a ngai a si a
fear, zanna ramhuai film en chuan ka dawih lutuk
joy,pawisa tam tham deuh ka dawng hlawl mai
sadness, min sawi chhiat i tum in ka hria
anger,min sawisel i va chhing ve
anger,i va trawp hlawm tak
fear, ka hlau lutuk mahni in ka awm
sadness, tiang thil saw ka va it tak
anger, a tlai tawh zia hi ka va ngei tak
joy, engmah ka neilo hi ka lawm
joy,hmangaihna hi fakna sang ber ani
joy, a film duh ber a en hi chuan a hlim ania aw
sadness,thingthleng zawng zawngah amah a in mawhpuh alawm
fear, hlauna telo chuan a huaisen theihloh
neutral,keini pawh le
neutral, chuanin
joy, ka zir rei hnuah ka pass thei hi ka lawm
anger, engmah ka hrethiam thei thlawt lo ka ning ngawih ngawih 
joy,hei aiin ala chhe thei alawm chu vangin hlim rawh
sadness, a hmel chu a dur ta a
fear, hlau loa i awm theih chuan le
fear, hlauh tur a awlo kawngkhar ve mai alawm
anger,ka ning zia hi ka sawi thiamlo
